16:41:44 02-17: INFO __init__(), line 19, initialze controller done
16:41:44 02-17: INFO start(), line 53, initialize cluster detail
16:41:44 02-17: DEBUG _startup_monitor_thread(), line 38, invoked.
16:41:44 02-17: DEBUG _thread_monitor(), line 76, invoked.
16:41:44 02-17: DEBUG start(), line 62, initialize cluster detail done
16:41:44 02-17: DEBUG _thread_monitor(), line 78, wake up
16:41:44 02-17: INFO start(), line 65, startup service
16:41:44 02-17: DEBUG _thread_monitor(), line 79, sleep
16:41:44 02-17: DEBUG start(), line 67, start service done
16:41:49 02-17: DEBUG _thread_monitor(), line 78, wake up
16:41:49 02-17: DEBUG _thread_monitor(), line 79, sleep
16:41:54 02-17: DEBUG _thread_monitor(), line 78, wake up
16:41:54 02-17: DEBUG _thread_monitor(), line 79, sleep
16:41:59 02-17: DEBUG _thread_monitor(), line 78, wake up
16:41:59 02-17: DEBUG _thread_monitor(), line 79, sleep
16:42:04 02-17: DEBUG _thread_monitor(), line 78, wake up
16:42:04 02-17: DEBUG _thread_monitor(), line 79, sleep
16:42:09 02-17: DEBUG _thread_monitor(), line 78, wake up
16:42:09 02-17: DEBUG _thread_monitor(), line 79, sleep
16:42:14 02-17: DEBUG _thread_monitor(), line 78, wake up
16:42:14 02-17: DEBUG _thread_monitor(), line 79, sleep
16:42:20 02-17: DEBUG _thread_monitor(), line 78, wake up
16:42:20 02-17: DEBUG _thread_monitor(), line 79, sleep
16:42:25 02-17: DEBUG _thread_monitor(), line 78, wake up
16:42:25 02-17: DEBUG _thread_monitor(), line 79, sleep
