15:24:27 02-17: INFO __init__(), line 22, initialze controller done
15:24:27 02-17: INFO start(), line 67, initialize node detail
15:24:27 02-17: DEBUG _initialize(), line 98, invoked.
15:24:27 02-17: DEBUG _initialize(), line 132, done
15:24:27 02-17: DEBUG _startup_monitor_thread(), line 38, invoked.
15:24:27 02-17: DEBUG _thread_monitor(), line 145, invoked.
15:24:27 02-17: DEBUG start(), line 76, initialize node detail done
15:24:27 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:24:27 02-17: INFO start(), line 79, starting service
15:24:27 02-17: DEBUG start(), line 81, start service done
15:24:27 02-17: INFO start(), line 89, add iptable rule.
15:24:32 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:24:37 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:24:42 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:24:47 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:24:52 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:24:57 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:25:02 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:25:07 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:25:12 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:25:17 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:25:22 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:25:27 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:25:32 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:25:37 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:25:42 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:25:47 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:25:52 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:25:57 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:26:02 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:26:07 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:26:12 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:26:17 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:26:22 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:26:27 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:26:32 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:26:37 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:26:42 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:26:47 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:26:52 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:26:57 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:27:02 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:27:07 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:27:12 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:27:17 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:27:22 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:27:27 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:27:32 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:27:37 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:27:42 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:27:47 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:27:52 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:27:57 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:28:02 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:28:07 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:28:12 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:28:17 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:28:22 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:28:27 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:28:32 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:28:37 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:28:42 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:28:47 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:28:52 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:28:57 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:29:02 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:29:07 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:29:12 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:29:17 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:29:22 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:29:27 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
15:29:32 02-17: DEBUG _thread_monitor(), line 148, monitor thread running...
